iter	Passed	Remaining
180	995	4506
181	997	4484
182	999	4462
183	1002	4446
184	1004	4424
185	1006	4406
186	1009	4387
187	1012	4373
188	1014	4352
189	1017	4336
190	1020	4323
191	1024	4311
192	1026	4292
193	1028	4272
194	1030	4252
195	1033	4240
196	1035	4221
197	1037	4201
198	1041	4192
199	1043	4174
200	1045	4155
201	1049	4144
202	1052	4133
203	1058	4131
204	1060	4112
205	1070	4126
206	1076	4125
207	1080	4115
208	1083	4101
209	1087	4091
210	1101	4118
211	1104	4106
212	1109	4101
213	1114	4095
214	1116	4076
215	1119	4061
216	1121	4045
217	1123	4029
218	1124	4011
219	1126	3994
220	1130	3986
221	1133	3971
222	1137	3964
223	1140	3949
224	1141	3931
225	1144	3918
226	1145	3901
227	1148	3887
228	1150	3874
229	1152	3859
230	1154	3842
231	1155	3825
232	1158	3814
233	1161	3800
234	1164	3789
235	1168	3783
236	1170	3769
237	1174	3760
238	1176	3747
239	1181	3740
240	1185	3733
241	1187	3718
242	1189	3704
243	1191	3692
244	1194	3681
245	1196	3668
246	1199	3656
247	1201	3642
248	1204	3631
249	1207	3623
250	1211	3616
251	1213	3602
252	1215	3588
253	1220	3584
254	1225	3578
255	1226	3565
256	1229	3554
257	1231	3540
258	1233	3529
259	1236	3518
260	1240	3511
261	1242	3500
262	1244	3488
263	1248	3480
264	1250	3467
265	1253	3459
266	1256	3448
267	1257	3435
268	1259	3422
269	1261	3411
270	1263	3399
271	1265	3386
272	1267	3375
273	1270	3366
274	1272	3355
275	1275	3344
276	1278	3336
277	1282	3329
278	1284	3319
279	1286	3308
280	1288	3296
281	1291	3289
282	1294	3280
283	1299	3276
284	1302	3267
285	1304	3256
286	1308	3250
287	1311	3241
288	1315	3235
289	1317	3226
290	1321	3218
291	1324	3211
292	1329	3207
293	1332	3198
294	1333	3187
295	1337	3180
296	1339	3171
297	1342	3161
298	1345	3154
299	1347	3143
300	1348	3132
301	1352	3125
302	1354	3116
303	1356	3106
304	1359	3097
305	1362	3089
306	1364	3079
307	1366	3069
308	1368	3059
309	1370	3049
310	1373	3043
311	1375	3033
312	1377	3023
313	1380	3016
314	1382	3007
315	1385	2998
316	1388	2991
317	1391	2984
318	1393	2974
319	1395	2966
320	1399	2959
321	1402	2953
322	1405	2944
323	1406	2934
324	1411	2930
325	1418	2933
326	1420	2924
327	1426	2922
328	1428	2913
329	1433	2909
330	1435	2901
331	1441	2899
332	1449	2902
333	1450	2892
334	1455	2888
335	1458	2882
336	1460	2873
337	1462	2865
338	1464	2855
339	1467	2848
340	1471	2843
341	1473	2835
342	1477	2829
343	1479	2820
344	1484	2817
345	1486	2809
346	1487	2800
347	1490	2791
348	1491	2782
349	1494	2776
350	1498	2770
351	1502	2765
352	1504	2757
353	1507	2751
354	1513	2749
355	1516	2743
356	1518	2734
357	1522	2730
358	1524	2722
359	1528	2717
360	1530	2709
361	1532	2700
362	1536	2697
363	1538	2688
364	1543	2685
365	1547	2680
366	1551	2676
367	1554	2669
368	1557	2663
369	1559	2655
370	1563	2650
371	1567	2646
372	1570	2639
373	1574	2635
374	1577	2628
375	1579	2620
376	1582	2615
377	1585	2608
378	1587	2600
379	1590	2594
380	1592	2586
381	1593	2578
382	1597	2572
383	1600	2568
384	1606	2566
385	1608	2559
386	1610	2550
387	1613	2544
388	1615	2537
389	1618	2531
390	1621	2525
391	1623	2517
392	1627	2513
393	1631	2508
394	1633	2502
395	1636	2495
396	1639	2490
397	1642	2484
398	1644	2476
399	1647	2471
400	1649	2464
401	1651	2457
402	1656	2453
403	1658	2447
404	1662	2441
405	1665	2436
406	1667	2430
407	1671	2425
408	1675	2421
409	1679	2416
410	1681	2409
411	1685	2405
412	1688	2399
413	1690	2393
414	1694	2388
415	1695	2380
416	1700	2376
417	1702	2370
418	1704	2363
419	1709	2361
420	1716	2360
421	1719	2355
422	1725	2353
423	1727	2346
424	1729	2339
425	1731	2332
426	1733	2325
427	1734	2318
428	1737	2312
429	1739	2305
430	1741	2299
431	1747	2297
432	1752	2295
433	1758	2293
434	1761	2288
435	1764	2282
436	1769	2279
437	1771	2272
438	1776	2269
439	1778	2263
440	1784	2261
441	1787	2256
442	1792	2253
443	1794	2247
444	1797	2242
445	1800	2236
446	1803	2231
447	1806	2225
448	1809	2220
449	1813	2216
450	1814	2209
451	1817	2203
452	1819	2196
453	1821	2190
454	1823	2183
455	1826	2179
456	1829	2173
457	1831	2166
458	1834	2162
459	1838	2158
460	1840	2151
461	1843	2147
462	1848	2144
463	1852	2140
464	1854	2133
465	1857	2128
466	1861	2124
467	1867	2123
468	1869	2116
469	1873	2112
470	1880	2112
471	1882	2105
472	1884	2099
473	1890	2097
474	1894	2093
475	1897	2089
476	1903	2086
477	1905	2080
478	1908	2075
479	1911	2070
480	1913	2064
481	1915	2058
482	1919	2054
483	1921	2048
484	1926	2045
485	1928	2039
486	1931	2034
487	1936	2031
488	1939	2026
489	1941	2020
490	1943	2014
491	1947	2010
492	1950	2006
493	1956	2003
494	1958	1998
495	1963	1995
496	1967	1990
497	1969	1985
498	1973	1981
499	1977	1977
500	1980	1972
501	1982	1967
502	1987	1963
503	1992	1961
504	1995	1956
505	1997	1949
506	2001	1946
507	2004	1941
508	2011	1940
509	2014	1935
510	2018	1931
511	2020	1925
512	2025	1922
513	2031	1921
514	2036	1917
515	2042	1915
516	2044	1909
517	2047	1905
518	2049	1899
519	2052	1894
520	2054	1889
521	2057	1884
522	2062	1881
523	2067	1877
524	2075	1877
525	2079	1874
526	2082	1868
527	2084	1863
528	2086	1857
529	2088	1852
530	2091	1847
531	2094	1842
532	2096	1837
533	2101	1833
534	2103	1828
535	2107	1824
536	2109	1818
537	2112	1814
538	2115	1809
539	2117	1803
540	2121	1799
541	2122	1793
542	2124	1788
543	2126	1782
544	2128	1777
545	2130	1771
546	2136	1769
547	2139	1764
548	2142	1759
549	2144	1754
550	2147	1749
551	2149	1744
552	2151	1739
553	2153	1733
554	2156	1728
555	2158	1723
556	2160	1718
557	2165	1715
558	2167	1709
559	2170	1705
560	2172	1700
561	2176	1696
562	2181	1692
563	2183	1688
564	2188	1684
565	2190	1679
566	2195	1676
567	2197	1671
568	2200	1666
569	2202	1661
570	2204	1656
571	2207	1651
572	2209	1646
573	2211	1641
574	2214	1637
575	2216	1631
576	2218	1626
577	2224	1624
578	2226	1619
579	2228	1613
580	2231	1609
581	2235	1605
582	2237	1600
583	2240	1596
584	2243	1591
585	2245	1586
586	2247	1581
587	2250	1576
588	2253	1572
589	2255	1567
590	2259	1563
591	2261	1558
592	2263	1553
593	2266	1549
594	2269	1544
595	2270	1539
596	2275	1535
597	2278	1531
598	2281	1527
599	2286	1524
600	2288	1519
601	2293	1516
602	2296	1511
603	2298	1507
604	2302	1503
605	2306	1499
606	2311	1496
607	2315	1492
608	2319	1489
609	2322	1484
610	2324	1480
611	2328	1476
612	2331	1471
613	2335	1468
614	2350	1471
615	2354	1467
616	2358	1463
617	2361	1459
618	2365	1456
619	2369	1452
620	2372	1447
621	2374	1442
622	2375	1437
623	2380	1434
624	2381	1429
625	2384	1424
626	2388	1421
627	2392	1416
628	2395	1413
629	2398	1408
630	2400	1403
631	2405	1400
632	2406	1395
633	2410	1391
634	2412	1386
635	2414	1382
636	2417	1377
637	2420	1373
638	2422	1368
639	2426	1364
640	2429	1360
641	2431	1356
642	2436	1352
643	2438	1347
644	2441	1343
645	2443	1339
646	2445	1334
647	2449	1330
648	2451	1325
649	2454	1321
650	2457	1317
651	2462	1314
652	2467	1311
653	2470	1307
654	2474	1303
655	2477	1299
656	2479	1294
657	2481	1289
658	2485	1286
659	2488	1281
660	2490	1277
661	2494	1273
662	2496	1268
663	2500	1265
664	2504	1261
665	2509	1258
666	2511	1254
667	2516	1250
668	2518	1246
669	2521	1241
670	2524	1237
671	2526	1233
672	2534	1231
673	2540	1228
674	2544	1224
675	2547	1220
676	2550	1216
677	2553	1212
678	2555	1208
679	2560	1204
680	2563	1200
681	2566	1196
682	2572	1194
683	2578	1191
684	2587	1189
685	2591	1186
686	2594	1182
687	2599	1178
688	2601	1174
689	2606	1170
690	2612	1168
691	2618	1165
692	2622	1161
693	2628	1159
694	2639	1158
695	2647	1156
696	2651	1152
697	2654	1148
698	2656	1143
699	2658	1139
700	2661	1135
701	2676	1136
702	2680	1132
703	2685	1129
704	2689	1125
705	2694	1122
706	2698	1118
707	2701	1114
708	2705	1110
709	2711	1107
710	2714	1103
711	2717	1099
712	2719	1094
713	2724	1091
714	2729	1087
715	2731	1083
716	2735	1079
717	2740	1076
718	2745	1073
719	2749	1069
720	2751	1064
721	2755	1061
722	2760	1057
723	2765	1054
724	2769	1050
725	2774	1047
726	2782	1044
727	2801	1046
728	2803	1042
729	2806	1038
730	2811	1034
731	2815	1030
732	2818	1026
733	2822	1022
734	2826	1018
735	2829	1014
736	2831	1010
737	2835	1006
738	2840	1003
739	2844	999
740	2846	994
741	2853	992
742	2856	988
743	2861	984
744	2865	980
745	2869	976
746	2871	972
747	2875	968
748	2878	964
749	2881	960
750	2884	956
751	2886	952
752	2890	948
753	2893	944
754	2896	939
755	2899	935
756	2901	931
757	2906	927
758	2912	924
759	2916	920
760	2919	916
761	2921	912
762	2925	908
763	2928	904
764	2930	900
765	2932	895
766	2935	891
767	2937	887
768	2941	883
769	2946	880
770	2952	877
771	2959	874
772	2962	869
773	2965	865
774	2972	862
775	2975	858
776	2980	855
777	2983	851
778	2987	847
779	2988	843
780	2990	838
781	3003	837
782	3007	833
783	3009	829
784	3012	825
785	3016	821
786	3019	817
787	3022	813
788	3026	809
789	3028	805
790	3035	801
791	3037	797
792	3041	793
793	3043	789
794	3045	785
795	3047	781
796	3049	776
797	3051	772
798	3055	768
799	3057	764
800	3059	760
801	3062	756
802	3064	751
803	3068	747
804	3071	743
805	3075	740
806	3078	736
807	3081	732
808	3085	728
809	3089	724
810	3093	720
811	3095	716
812	3098	712
813	3100	708
814	3103	704
815	3105	700
816	3107	696
817	3109	691
818	3113	688
819	3116	684
820	3122	680
821	3124	676
822	3128	672
823	3131	668
824	3133	664
825	3136	660
826	3138	656
827	3142	652
828	3144	648
829	3150	645
830	3152	641
831	3155	637
832	3157	632
833	3159	628
834	3161	624
835	3164	620
836	3166	616
837	3167	612
838	3173	608
839	3175	604
840	3180	601
841	3183	597
842	3187	593
843	3192	590
844	3196	586
845	3198	582
846	3201	578
847	3204	574
848	3206	570
849	3210	566
850	3213	562
851	3217	558
852	3220	554
853	3222	550
854	3227	547
855	3231	543
856	3237	540
857	3240	536
858	3242	532
859	3244	528
860	3246	524
861	3249	520
862	3251	516
863	3256	512
864	3258	508
865	3262	504
866	3264	500
867	3267	496
868	3271	493
869	3273	489
870	3276	485
871	3278	481
872	3280	477
873	3282	473
874	3286	469
875	3289	465
876	3292	461
877	3295	457
878	3301	454
879	3303	450
880	3305	446
881	3309	442
882	3312	438
883	3315	435
884	3318	431
885	3320	427
886	3322	423
887	3325	419
888	3329	415
889	3332	411
890	3335	408
891	3338	404
892	3341	400
893	3343	396
894	3347	392
895	3405	395
896	3409	391
897	3416	388
898	3422	384
899	3425	380
900	3431	377
901	3442	374
902	3476	373
903	3486	370
904	3489	366
905	3493	362
906	3529	361
907	3553	360
908	3608	361
909	3613	357
910	3622	353
911	3635	350
912	3639	346
913	3644	342
914	3652	339
915	3659	335
916	3666	331
917	3669	327
918	3676	324
919	3679	319
920	3689	316
921	3691	312
922	3693	308
923	3697	304
924	3699	299
925	3701	295
926	3706	291
927	3708	287
928	3710	283
929	3713	279
930	3716	275
931	3719	271
932	3722	267
933	3725	263
934	3731	259
935	3739	255
936	3742	251
937	3745	247
938	3747	243
939	3751	239
940	3752	235
941	3755	231
942	3756	227
943	3760	223
944	3762	218
945	3765	214
946	3767	210
947	3769	206
948	3774	202
949	3776	198
950	3778	194
951	3783	190
952	3785	186
953	3787	182
954	3789	178
955	3791	174
956	3793	170
957	3796	166
958	3798	162
959	3800	158
960	3803	154
961	3806	150
962	3808	146
963	3812	142
964	3814	138
965	3815	134
966	3818	130
967	3820	126
968	3821	122
969	3826	118
970	3829	114
971	3832	110
972	3836	106
973	3838	102
974	3840	98
975	3843	94
976	3846	90
977	3849	86
978	3852	82
979	3855	78
980	3858	74
981	3862	70
982	3865	66
983	3868	62
984	3871	58
985	3874	55
986	3877	51
987	3879	47
988	3884	43
989	3887	39
990	3893	35
991	3897	31
992	3899	27
993	3901	23
994	3902	19
995	3906	15
996	3908	11
997	3912	7
998	3916	3
999	3919	0
